season,slug
2024/2025,aut-regionalliga-ost-2024-2025
2023/2024,aut-regionalliga-ost-2023-2024
2022/2023,aut-regionalliga-ost-2022-2023
2021/2022,aut-regionalliga-ost-2021-2022
2020/2021,aut-regionalliga-ost-2020-2021
2019/2020,aut-regionalliga-ost-2019-2020
2018/2019,aut-regionalliga-ost-2018-2019
2017/2018,aut-regionalliga-ost-2017-2018
2016/2017,aut-regionalliga-ost-2016-2017
2015/2016,aut-regionalliga-ost-2015-2016
2014/2015,aut-regionalliga-ost-2014-2015
2013/2014,aut-regionalliga-ost-2013-2014
2012/2013,aut-regionalliga-ost-2012-2013
2011/2012,aut-regionalliga-ost-2011-2012
2010/2011,aut-regionalliga-ost-2010-2011
2009/2010,aut-regionalliga-ost-2009-2010
2008/2009,aut-regionalliga-ost-2008-2009
2007/2008,aut-regionalliga-ost-2007-2008
